time,sample,family,O2
00:01:14,GC,A,46.261917150968
00:01:15,GC,A,46.3989413966644
00:01:16,GC,A,46.3729082336927
00:01:17,GC,A,45.8726083311589
00:01:18,GC,A,46.8247846251748
00:01:19,GC,A,46.6840533519617
00:01:20,GC,A,46.1075832214718
00:01:21,GC,A,45.965523384196
00:01:22,GC,A,45.9082834910299
00:01:23,GC,A,46.4286044643948
00:01:24,GC,A,45.4976948931627
00:01:25,GC,A,45.5430043565913
00:01:26,GC,A,45.5283675823292
00:01:27,GC,A,45.3706563848991
00:01:28,GC,A,45.540099135046
00:01:29,GC,A,46.3076735528292
00:01:30,GC,A,45.762834312597
00:01:31,GC,A,45.2156942276507
00:01:32,GC,A,45.7748664015254
00:01:33,GC,A,45.5049089217898
00:01:34,GC,A,45.4104559207733
00:01:35,GC,A,45.0342428077469
00:01:36,GC,A,45.9693027422347
00:01:37,GC,A,45.6144278469138
00:01:38,GC,A,45.9228945831469
00:01:39,GC,A,45.0547408423146
00:01:40,GC,A,45.0541254852716
00:01:41,GC,A,45.0544423713225
00:01:42,GC,A,45.7376814835639
00:01:43,GC,A,45.1011358465992
00:01:44,GC,A,45.155925275763
00:01:45,GC,A,44.9472909016869
00:01:46,GC,A,45.0335174571635
00:01:47,GC,A,44.6883297702012
00:01:48,GC,A,45.1732487556267
00:01:49,GC,A,44.5667930603023
00:01:50,GC,A,44.7454148268801
00:01:51,GC,A,44.4402248226353
00:01:52,GC,A,45.4484515003172
00:01:53,GC,A,44.4187890383881
00:01:54,GC,A,45.2054875807819
00:01:55,GC,A,44.4967808398143
00:01:56,GC,A,44.5076634386246
00:01:57,GC,A,45.1257461253437
00:01:58,GC,A,44.1931230586323
00:01:59,GC,A,45.1464946866978
00:02:00,GC,A,45.0428621669248
00:02:01,GC,A,44.0192504688276
00:02:02,GC,A,44.1112327488636
00:02:03,GC,A,45.0310711007742
00:02:04,GC,A,44.6278412763112
00:02:05,GC,A,44.295274676497
00:02:06,GC,A,44.7520514104154
00:02:07,GC,A,44.3744914804805
00:02:08,GC,A,44.8652457684373
00:02:09,GC,A,44.5454818318793
00:02:10,GC,A,44.5549167309478
00:02:11,GC,A,44.773035339187
00:02:12,GC,A,44.892853086254
00:02:13,GC,A,44.3883305773194
00:02:14,GC,A,44.8466962086387
00:02:15,GC,A,44.2482443203864
00:02:16,GC,A,44.3422130223373
00:02:17,GC,A,44.4922596971809
00:02:18,GC,A,44.6667732761841
00:02:19,GC,A,44.4390201128983
00:02:20,GC,A,44.43479155137
00:02:21,GC,A,44.8838203725959
00:02:22,GC,A,44.7885081553749
00:02:23,GC,A,44.1192911840257
00:02:24,GC,A,44.0024071085775
00:02:25,GC,A,43.9989952838851
00:02:26,GC,A,44.8036890929732
00:02:27,GC,A,43.8525486879513
00:02:28,GC,A,44.8080685629335
00:02:29,GC,A,44.0553040885487
00:02:30,GC,A,44.7515750897533
00:02:31,GC,A,43.8515097840469
00:02:32,GC,A,44.4547767782659
00:02:33,GC,A,43.6808889448081
00:02:34,GC,A,44.3091004800717
00:02:35,GC,A,44.6190267189435
00:02:36,GC,A,44.1016304819237
00:02:37,GC,A,44.0409861847446
00:02:38,GC,A,44.3505121533742
00:02:39,GC,A,44.3330622507537
00:02:40,GC,A,44.5508299970641
00:02:41,GC,A,43.6674430302281
00:02:42,GC,A,44.5654840930597
00:02:43,GC,A,43.741930818983
00:02:44,GC,A,44.1993930806297
00:02:45,GC,A,44.271678909678
00:02:46,GC,A,44.6189266109389
00:02:47,GC,A,44.5873362320321
00:02:48,GC,A,43.8251866510278
00:02:49,GC,A,44.1441614555631
00:02:50,GC,A,44.0253817154825
00:02:51,GC,A,43.6059710326699
00:02:52,GC,A,44.5476806847768
00:02:53,GC,A,43.6454412564389
00:02:54,GC,A,44.4816386656884
00:02:55,GC,A,44.2211931209424
00:02:56,GC,A,43.4625383264093
00:02:57,GC,A,44.5548502271998
00:02:58,GC,A,44.3431492100768
00:02:59,GC,A,43.7246874857356
00:03:00,GC,A,44.5463452305601
00:03:01,GC,A,44.3911158524706
00:03:02,GC,A,43.8539929002139
00:03:03,GC,A,43.3224715405986
00:03:04,GC,A,44.0170983912629
00:03:05,GC,A,44.1130107643584
00:03:06,GC,A,43.671615838991
00:03:07,GC,A,43.9185542176638
00:03:08,GC,A,43.6831759395533
00:03:09,GC,A,44.301265302748
00:03:10,GC,A,43.7792114153618
00:03:11,GC,A,43.5661823644712
00:03:12,GC,A,43.6316959457245
00:03:13,GC,A,43.4185157531941
00:03:14,GC,A,43.863161489497
00:03:15,GC,A,44.3016194428045
00:03:16,GC,A,44.1454441473842
00:03:17,GC,A,43.6095908008833
00:03:18,GC,A,43.7022716784531
00:03:19,GC,A,43.4769884108542
00:03:20,GC,A,43.2050132509592
00:03:21,GC,A,43.9523374364347
00:03:22,GC,A,44.3317786576157
00:03:23,GC,A,43.712958014034
00:03:24,GC,A,44.0626586661264
00:03:25,GC,A,43.9556904167753
00:03:26,GC,A,43.0981606729508
00:03:27,GC,A,43.9292434462821
00:03:28,GC,A,43.5435695621955
00:03:29,GC,A,43.7899197950162
00:03:30,GC,A,43.5831379671079
00:03:31,GC,A,43.2429250668527
00:03:32,GC,A,44.1021976624703
00:03:33,GC,A,43.3080043978441
00:03:34,GC,A,43.0513352871619
00:03:35,GC,A,44.1820284240921
00:03:36,GC,A,43.5320288396777
00:03:37,GC,A,44.0861753714903
00:03:38,GC,A,44.1624633268449
00:03:39,GC,A,43.7373487432778
00:03:40,GC,A,43.8027972843153
00:03:41,GC,A,43.4373206246594
00:03:42,GC,A,43.1831276474766
00:03:43,GC,A,43.6843051165883
00:03:44,GC,A,44.0381216293105
00:03:45,GC,A,43.1282285920512
00:03:46,GC,A,42.9669188579944
00:03:47,GC,A,43.9087384851318
00:03:48,GC,A,43.1551439043903
00:03:49,GC,A,42.9525476500366
00:03:50,GC,A,43.0690877918233
00:03:51,GC,A,43.9378270082328
00:03:52,GC,A,43.3284336476781
00:03:53,GC,A,43.269552306665
00:03:54,GC,A,43.3893038717281
00:03:55,GC,A,43.9274392284583
00:03:56,GC,A,43.8936946202114
00:03:57,GC,A,43.5006101227294
00:03:58,GC,A,43.1187531886403
00:03:59,GC,A,43.3976285825084
00:04:00,GC,A,43.2887361383386
00:04:01,GC,A,43.0474225541654
00:04:02,GC,A,42.8876478956815
00:04:03,GC,A,43.0117761385123
00:04:04,GC,A,42.7925672713757
00:04:05,GC,A,42.7418622008245
00:04:06,GC,A,42.9987397185777
00:04:07,GC,A,43.0476634015146
00:04:08,GC,A,43.486380967433
00:04:09,GC,A,43.3316827252294
00:04:10,GC,A,42.7766221146289
00:04:11,GC,A,43.2068311597782
00:04:12,GC,A,42.7237762534961
00:04:13,GC,A,43.2201745762768
00:04:14,GC,A,43.141865276694
00:04:15,GC,A,42.6673568006506
00:04:16,GC,A,42.2391134224078
00:04:17,GC,A,42.4929469610087
00:04:18,GC,A,42.0477833022163
00:04:19,GC,A,42.710644428719
00:04:20,GC,A,41.9564714726413
00:04:21,GC,A,42.191560814872
00:04:22,GC,A,42.4500317897622
00:04:23,GC,A,42.2091628779908
00:04:24,GC,A,42.0723850515268
00:04:25,GC,A,42.3237107160375
00:04:26,GC,A,42.3547060477697
00:04:27,GC,A,42.5423843343237
00:04:28,GC,A,42.0856294992152
00:04:29,GC,A,42.2065717709299
00:04:30,GC,A,42.0229535527853
00:04:31,GC,A,41.4588699655278
00:04:32,GC,A,42.4185303128272
00:04:33,GC,A,41.3474335613884
00:04:34,GC,A,42.2030908205115
00:04:35,GC,A,41.6885247419434
00:04:36,GC,A,42.1313728653017
00:04:37,GC,A,41.0925749593813
00:04:38,GC,A,42.1374634908257
00:04:39,GC,A,41.9757263611092
00:04:40,GC,A,41.2288725275844
00:04:41,GC,A,41.841647420136
00:04:42,GC,A,40.9676676578739
00:04:43,GC,A,40.9612110184702
00:04:44,GC,A,40.9118299985777
00:04:45,GC,A,41.6588429689226
00:04:46,GC,A,40.8227235804407
00:04:47,GC,A,41.329842814654
00:04:48,GC,A,40.5059362862907
00:04:49,GC,A,41.4820663949468
00:04:50,GC,A,40.9504214180904
00:04:51,GC,A,41.4640418723772
00:04:52,GC,A,41.1828292298023
00:04:53,GC,A,41.0145927715284
00:04:54,GC,A,40.3344552302247
00:04:55,GC,A,40.827746571952
00:04:56,GC,A,40.3610046369091
00:04:57,GC,A,40.3312933761039
00:04:58,GC,A,40.9699390750999
00:04:59,GC,A,41.0225814926404
00:05:00,GC,A,40.0542953941282
00:05:01,GC,A,40.7844856467617
00:05:02,GC,A,40.7618769494681
00:05:03,GC,A,40.800819473169
00:05:04,GC,A,40.0902077040122
00:05:05,GC,A,40.32998486252
00:05:06,GC,A,40.4387474468949
00:05:07,GC,A,39.8244182762075
00:05:08,GC,A,40.317516984198
00:05:09,GC,A,40.2269013461595
00:05:10,GC,A,39.5064924216113
00:05:11,GC,A,40.1188403433681
00:05:12,GC,A,39.8325382536114
00:05:13,GC,A,39.8329304558339
00:05:14,GC,A,39.4801772482152
00:05:15,GC,A,39.3571463294063
00:05:16,GC,A,39.8780724164111
00:05:17,GC,A,39.7530846062405
00:05:18,GC,A,39.1489277797385
00:05:19,GC,A,40.0051236580037
00:05:20,GC,A,39.0150434676746
00:05:21,GC,A,39.3129700822289
00:05:22,GC,A,40.0357647034149
00:05:23,GC,A,39.8531199863267
00:05:24,GC,A,39.5828073229072
00:05:25,GC,A,39.7307735830254
00:05:26,GC,A,39.7255777975529
00:05:27,GC,A,39.1026611957961
00:05:28,GC,A,39.0407860951105
00:05:29,GC,A,39.3551949455286
00:05:30,GC,A,39.6448275216084
00:05:31,GC,A,38.7656806647283
00:05:32,GC,A,39.4119522943875
00:05:33,GC,A,39.3456937964133
00:05:34,GC,A,39.3140001819805
00:05:35,GC,A,39.3214111471229
00:05:36,GC,A,39.2565157849299
00:05:37,GC,A,38.3192239823054
00:05:38,GC,A,38.4824392446828
00:05:39,GC,A,39.1677381744464
00:05:40,GC,A,38.5003076922281
00:05:41,GC,A,38.3673219217397
00:05:42,GC,A,38.8237506127671
00:05:43,GC,A,38.3549831232087
00:05:44,GC,A,38.9859576379257
00:05:45,GC,A,38.4530715879577
00:05:46,GC,A,38.6184731872502
00:05:47,GC,A,37.8452590036052
00:05:48,GC,A,37.8182579572195
00:05:49,GC,A,37.8704708861978
00:05:50,GC,A,38.7620982766858
00:05:51,GC,A,37.773495880757
00:05:52,GC,A,38.2426848977233
00:05:53,GC,A,38.4138923868633
00:05:54,GC,A,38.1594569393206
00:05:55,GC,A,38.1072678034514
00:05:56,GC,A,38.3970761597033
00:05:57,GC,A,37.5817312131939
00:05:58,GC,A,37.6387820098289
00:05:59,GC,A,38.3497671241919
00:06:00,GC,A,38.2830070461441
00:06:01,GC,A,37.3299810054262
00:06:02,GC,A,37.2362571636824
00:06:03,GC,A,38.1313234512439
00:06:04,GC,A,37.4790698917335
00:06:05,GC,A,38.1152191821185
00:06:06,GC,A,37.7843910156336
00:06:07,GC,A,37.5466980352411
00:06:08,GC,A,37.6616293928698
00:06:09,GC,A,37.8390927894791
00:06:10,GC,A,37.1332014207194
00:06:11,GC,A,37.8377041367798
00:06:12,GC,A,37.9701218689303
00:06:13,GC,A,37.4101183454415
00:06:14,GC,A,37.2960679696189
00:06:15,GC,A,37.2627843549129
00:06:16,GC,A,37.0561547840006
00:06:17,GC,A,37.2922263574185
00:06:18,GC,A,37.6536825543938
00:06:19,GC,A,37.7817053914145
00:06:20,GC,A,37.7415269293305
00:06:21,GC,A,37.3290982126079
00:06:22,GC,A,36.8361698992709
00:06:23,GC,A,37.6720448882816
00:06:24,GC,A,37.4078836654216
00:06:25,GC,A,37.0580494364034
00:06:26,GC,A,36.7951564049928
00:06:27,GC,A,37.4774046037333
00:06:28,GC,A,37.1363619000976
00:06:29,GC,A,37.0677375164546
00:06:30,GC,A,37.7891962576727
00:06:31,GC,A,36.9568565865455
00:06:32,GC,A,37.0687107893453
00:06:33,GC,A,37.7094500520419
00:06:34,GC,A,37.3664912014759
00:06:35,GC,A,37.6781591607155
00:06:36,GC,A,36.9457792993871
00:06:37,GC,A,36.9463070018791
00:06:38,GC,A,36.759532874355
00:06:39,GC,A,37.0369721750116
00:06:40,GC,A,36.5024783391231
00:06:41,GC,A,36.5789893277053
00:06:42,GC,A,37.5191100573569
00:06:43,GC,A,37.1248778911116
00:06:44,GC,A,37.0982953411674
00:06:45,GC,A,37.524488282159
00:06:46,GC,A,36.40461817392
00:06:47,GC,A,36.75385580298
00:06:48,GC,A,37.3777263598153
00:06:49,GC,A,36.7746212543895
00:06:50,GC,A,37.4262617205583
00:06:51,GC,A,36.4610367711353
00:06:52,GC,A,36.5261351400113
00:06:53,GC,A,37.2759661898413
00:06:54,GC,A,36.1911018923659
00:06:55,GC,A,36.4782827702492
00:06:56,GC,A,36.3955864818315
00:06:57,GC,A,36.9543372729679
00:06:58,GC,A,36.9324887878486
00:06:59,GC,A,37.0706631425399
00:07:00,GC,A,36.4908632857694
00:07:01,GC,A,36.7165807305211
00:07:02,GC,A,37.0562106357601
00:07:03,GC,A,36.1153172507003
00:07:04,GC,A,36.546063357165
00:07:05,GC,A,36.2192251524685
00:07:06,GC,A,36.4463699777746
00:07:07,GC,A,36.5824615491096
00:07:08,GC,A,36.6909506281718
00:07:09,GC,A,36.8638332737828
00:07:10,GC,A,36.6222283424435
00:07:11,GC,A,36.7464515121617
00:07:12,GC,A,36.8378125579398
00:07:13,GC,A,36.9188720304227
00:07:14,GC,A,36.2127810277091
00:07:15,GC,A,36.3298744567123
00:07:16,GC,A,36.2528874192178
00:07:17,GC,A,36.5805532526354
00:07:18,GC,A,36.6144295323176
00:07:19,GC,A,35.8195985431657
00:07:20,GC,A,36.318423582821
00:07:21,GC,A,36.3290404927536
00:07:22,GC,A,36.2093253462533
00:07:23,GC,A,36.8111447388602
00:07:24,GC,A,36.4464590333105
00:07:25,GC,A,36.5100195827935
00:07:26,GC,A,35.8886115217029
00:07:27,GC,A,36.1884239069903
00:07:28,GC,A,35.9156119702508
00:07:29,GC,A,36.412033531861
00:07:30,GC,A,35.9871660923454
00:07:31,GC,A,35.9562787796577
00:07:32,GC,A,36.133291983007
00:07:33,GC,A,36.2182707593728
00:07:34,GC,A,35.9751138284161
00:07:35,GC,A,36.1855347692663
00:07:36,GC,A,35.4597825159354
00:07:37,GC,A,36.0816100626626
00:07:38,GC,A,36.2631341690909
00:07:39,GC,A,35.4949506169303
00:07:40,GC,A,35.4734002003902
00:07:41,GC,A,36.3014740934458
00:07:42,GC,A,35.8788806106165
00:07:43,GC,A,36.346347530892
00:07:44,GC,A,35.5069512410967
00:07:45,GC,A,36.1821098816758
00:07:46,GC,A,36.2461748350712
00:07:47,GC,A,35.1941412905547
00:07:48,GC,A,35.424530370556
00:07:49,GC,A,36.0936454513137
00:07:50,GC,A,35.0361738092918
00:07:51,GC,A,36.1059825290234
00:07:52,GC,A,35.0924993612522
00:07:53,GC,A,35.0368912005819
00:07:54,GC,A,34.8834123281049
00:07:55,GC,A,35.1402229588786
00:07:56,GC,A,34.9943029757878
00:07:57,GC,A,34.7524250901467
00:07:58,GC,A,35.541955331054
00:07:59,GC,A,34.7105976771152
00:08:00,GC,A,35.337409650076
00:08:01,GC,A,34.9385939941259
00:08:02,GC,A,34.4892053995068
00:08:03,GC,A,34.7162669137999
00:08:04,GC,A,33.8990451696331
00:08:05,GC,A,34.8939464578354
00:08:06,GC,A,34.5262352750425
00:08:07,GC,A,33.5889400328961
00:08:08,GC,A,33.710646078557
00:08:09,GC,A,33.6053560748291
00:08:10,GC,A,34.2457675777311
00:08:11,GC,A,33.4298403639516
00:08:12,GC,A,33.9805120649113
00:08:13,GC,A,33.3252124734539
00:08:14,GC,A,33.3540589258303
00:08:15,GC,A,33.3452225160926
00:08:16,GC,A,32.2257626480476
00:08:17,GC,A,32.9015105763415
00:08:18,GC,A,32.4361817078542
00:08:19,GC,A,32.3434054602658
00:08:20,GC,A,31.6451802648306
00:08:21,GC,A,31.7671569165388
00:08:22,GC,A,31.4371153403531
00:08:23,GC,A,31.4601994952557
00:08:24,GC,A,31.6090782434961
00:08:25,GC,A,31.0403937259883
00:08:26,GC,A,31.7048848033058
00:08:27,GC,A,30.497729889119
00:08:28,GC,A,31.1804578011786
00:08:29,GC,A,30.3415304114885
00:08:30,GC,A,30.7005988411361
00:08:31,GC,A,29.8733592702675
00:08:32,GC,A,30.1732214395468
00:08:33,GC,A,30.4679279736666
00:08:34,GC,A,30.112307137657
00:08:35,GC,A,30.0770779605271
00:08:36,GC,A,29.1124658282075
00:08:37,GC,A,29.6202497202975
00:08:38,GC,A,29.2707723468526
00:08:39,GC,A,29.6174791359239
00:08:40,GC,A,28.999085871018
00:08:41,GC,A,29.2021564747859
00:08:42,GC,A,29.0275106113037
00:08:43,GC,A,28.7056971169554
00:08:44,GC,A,28.5139299600774
00:08:45,GC,A,28.0254290241118
00:08:46,GC,A,27.7298510652249
00:08:47,GC,A,27.866942830862
00:08:48,GC,A,27.3145761574657
00:08:49,GC,A,27.4255458802866
00:08:50,GC,A,27.9096330799025
00:08:51,GC,A,26.9087166978752
00:08:52,GC,A,26.5877760496609
00:08:53,GC,A,27.4046547308163
00:08:54,GC,A,26.9181857525814
00:08:55,GC,A,26.543203624094
00:08:56,GC,A,26.01941635155
00:08:57,GC,A,26.4438791925267
00:08:58,GC,A,26.2452943889516
00:08:59,GC,A,26.1217129942965
00:09:00,GC,A,26.3785800836896
00:09:01,GC,A,25.5150624112986
00:09:02,GC,A,25.6072031419465
00:09:03,GC,A,25.837377965695
00:09:04,GC,A,25.676685940617
00:09:05,GC,A,24.5641310145556
00:09:06,GC,A,25.0115213055484
00:09:07,GC,A,24.7336708790856
00:09:08,GC,A,24.9843243080337
00:09:09,GC,A,24.3710694992972
00:09:10,GC,A,24.2928201963163
00:09:11,GC,A,24.525179095927
00:09:12,GC,A,23.4830472168307
00:09:13,GC,A,24.1719707520385
00:09:14,GC,A,23.8145745487502
00:09:15,GC,A,23.9873636327215
00:09:16,GC,A,23.4657747967543
00:09:17,GC,A,23.0489744640242
00:09:18,GC,A,23.6395746266668
00:09:19,GC,A,23.0797989613488
00:09:20,GC,A,22.760118610228
00:09:21,GC,A,22.760416136955
00:09:22,GC,A,22.7055335088481
00:09:23,GC,A,22.2552459175459
00:09:24,GC,A,22.3315876774162
00:09:25,GC,A,22.5140422334479
00:09:26,GC,A,21.5723440118562
00:09:27,GC,A,22.1071982845073
00:09:28,GC,A,21.4847945533014
00:09:29,GC,A,21.4679260362104
00:09:30,GC,A,21.4286799158047
00:09:31,GC,A,21.546955957542
00:09:32,GC,A,21.3910531639023
00:09:33,GC,A,20.4131270006113
00:09:34,GC,A,20.3310362448642
00:09:35,GC,A,20.3299460519675
00:09:36,GC,A,19.73902361612
00:09:37,GC,A,20.600245721957
00:09:38,GC,A,19.9719482284345
00:09:39,GC,A,20.040397761784
00:09:40,GC,A,19.3976374086123
00:09:41,GC,A,19.9113325451544
00:09:42,GC,A,19.1326965353407
00:09:43,GC,A,19.5988047443198
00:09:44,GC,A,19.4902713270638
00:09:45,GC,A,19.070759486893
00:09:46,GC,A,18.4560330580122
00:09:47,GC,A,18.4519608165201
00:09:48,GC,A,18.2664161544287
00:09:49,GC,A,18.6151211772969
00:09:50,GC,A,18.8440366073366
00:09:51,GC,A,17.6480066259176
00:09:52,GC,A,17.4308790468325
00:09:53,GC,A,17.3258737643825
00:09:54,GC,A,18.1954146957531
00:09:55,GC,A,18.0846402815048
00:09:56,GC,A,17.2146912514599
00:09:57,GC,A,17.374028581783
00:09:58,GC,A,17.3206281338114
00:09:59,GC,A,17.5117362349451
00:00:00,AC,A,50.2338914820924
00:00:01,AC,A,49.6544472171187
00:00:02,AC,A,50.2103300687312
00:00:03,AC,A,50.057707860565
00:00:04,AC,A,50.3903990340261
00:00:05,AC,A,49.9149363523384
00:00:06,AC,A,49.4466883233977
00:00:07,AC,A,49.4273931011048
00:00:08,AC,A,49.3503826299366
00:00:09,AC,A,49.6659500775735
00:00:10,AC,A,49.7626056389953
00:00:11,AC,A,49.7015125525447
00:00:12,AC,A,49.5808430382507
00:00:13,AC,A,48.9857351889552
00:00:14,AC,A,48.5714919844748
00:00:15,AC,A,48.8613168416497
00:00:16,AC,A,48.4938309357301
00:00:17,AC,A,48.9749849639479
00:00:18,AC,A,48.9432797184638
00:00:19,AC,A,48.6687636861848
00:00:20,AC,A,48.4175678894041
00:00:21,AC,A,48.9784150443935
00:00:22,AC,A,47.9811911009994
00:00:23,AC,A,48.4312499518164
00:00:24,AC,A,49.0397699946973
00:00:25,AC,A,48.9945644586629
00:00:26,AC,A,48.2466493437196
00:00:27,AC,A,48.0709631378738
00:00:28,AC,A,48.5064000477837
00:00:29,AC,A,47.9995484990668
00:00:30,AC,A,48.7842181860916
00:00:31,AC,A,48.3517081631641
00:00:32,AC,A,48.4377306235164
00:00:33,AC,A,48.3010921805153
00:00:34,AC,A,48.3317135795785
00:00:35,AC,A,48.0714408156143
00:00:36,AC,A,48.1348717385431
00:00:37,AC,A,48.463432441403
00:00:38,AC,A,47.8181593776833
00:00:39,AC,A,47.7669656490906
00:00:40,AC,A,47.7498417858812
00:00:41,AC,A,48.0067571440404
00:00:42,AC,A,47.6558058882603
00:00:43,AC,A,47.6458462944571
00:00:44,AC,A,47.5130864698604
00:00:45,AC,A,47.9567961270931
00:00:46,AC,A,47.60385792552
00:00:47,AC,A,47.3819369842002
00:00:48,AC,A,47.9952222479989
00:00:49,AC,A,46.9154120949426
00:00:50,AC,A,47.0016509047885
00:00:51,AC,A,47.1247523734368
00:00:52,AC,A,47.2391275832298
00:00:53,AC,A,47.1880045101693
00:00:54,AC,A,47.2689964062097
00:00:55,AC,A,47.3513807498259
00:00:56,AC,A,46.8338743361832
00:00:57,AC,A,46.6059446333941
00:00:58,AC,A,47.3272673602097
00:00:59,AC,A,47.142043874013
00:01:00,AC,A,46.4405492118134
00:01:01,AC,A,46.6722286477106
00:01:02,AC,A,46.3779226246489
00:01:03,AC,A,46.3008975205989
00:01:04,AC,A,46.4277795458105
00:01:05,AC,A,46.1854749645777
00:01:06,AC,A,46.7382079651165
00:01:07,AC,A,46.0210706537953
00:01:08,AC,A,46.6684710290493
00:01:09,AC,A,46.2636024273058
00:01:10,AC,A,46.4697088305742
00:01:11,AC,A,46.9023395212118
00:01:12,AC,A,46.9181489370361
00:01:13,AC,A,45.8449188892173
00:01:14,AC,A,46.5527207032068
00:01:15,AC,A,46.4627879144693
00:01:16,AC,A,46.5620030509223
00:01:17,AC,A,46.7715614943527
00:01:18,AC,A,45.9975131640751
00:01:19,AC,A,45.6331937598451
00:01:20,AC,A,46.1912222263637
00:01:21,AC,A,45.698041579601
00:01:22,AC,A,46.2568780819813
00:01:23,AC,A,46.335717394646
00:01:24,AC,A,45.7724614792124
00:01:25,AC,A,46.3768066285577
00:01:26,AC,A,46.3172290541477
00:01:27,AC,A,46.0382630823272
00:01:28,AC,A,45.3920251402943
00:01:29,AC,A,45.2220940986433
00:01:30,AC,A,46.2145657657278
00:01:31,AC,A,46.0476738060303
00:01:32,AC,A,45.4692822893407
00:01:33,AC,A,45.9092073513298
00:01:34,AC,A,45.6896968573282
00:01:35,AC,A,45.9959392633086
00:01:36,AC,A,45.476702671183
00:01:37,AC,A,45.1904092669909
00:01:38,AC,A,45.4867155358464
00:01:39,AC,A,45.2555350960348
00:01:40,AC,A,45.1787038148343
00:01:41,AC,A,45.6467415643665
00:01:42,AC,A,44.7429058381943
00:01:43,AC,A,45.4585689894357
00:01:44,AC,A,44.7807880975586
00:01:45,AC,A,44.5038797946203
00:01:46,AC,A,44.8599337432656
00:01:47,AC,A,45.3380273163437
00:01:48,AC,A,44.3497477915611
00:01:49,AC,A,44.5943448494446
00:01:50,AC,A,45.3046010528161
00:01:51,AC,A,44.9745750525009
00:01:52,AC,A,44.6003675116133
00:01:53,AC,A,44.5152262761457
00:01:54,AC,A,44.8543743014257
00:01:55,AC,A,44.9273389856334
00:01:56,AC,A,44.458260266341
00:01:57,AC,A,44.7683843071887
00:01:58,AC,A,44.3041062792376
00:01:59,AC,A,44.3824798427725
00:02:00,AC,A,44.5885223219393
00:02:01,AC,A,44.4180321264682
00:02:02,AC,A,44.6391494254059
00:02:03,AC,A,44.0115253914724
00:02:04,AC,A,44.9364231738434
00:02:05,AC,A,44.1301181424538
00:02:06,AC,A,44.0499491651988
00:02:07,AC,A,44.1389512812909
00:02:08,AC,A,44.3964299964082
00:02:09,AC,A,44.5687230973333
00:02:10,AC,A,43.9952095140425
00:02:11,AC,A,44.051658868601
00:02:12,AC,A,43.7152712730349
00:02:13,AC,A,43.8006686647123
00:02:14,AC,A,43.7547303262269
00:02:15,AC,A,44.6968043931334
00:02:16,AC,A,44.7536761892936
00:02:17,AC,A,44.5283673673315
00:02:18,AC,A,44.4812119390665
